date,sales
2024-01-01,204.97
2024-01-02,216.27
2024-01-03,230.02
2024-01-04,229.97
2024-01-05,197.06
2024-01-06,188.26
2024-01-07,212.28
2024-01-08,221.82
2024-01-09,227.1
2024-01-10,243.11
2024-01-11,224.25
2024-01-12,208.89
2024-01-13,207.16
2024-01-14,191.49
2024-01-15,211.03
2024-01-16,240.32
2024-01-17,241.69
2024-01-18,246.16
2024-01-19,218.61
2024-01-20,204.76
2024-01-21,239.42
2024-01-22,240.17
2024-01-23,260.76
2024-01-24,251.72
2024-01-25,251.72
2024-01-26,242.94
2024-01-27,221.52
2024-01-28,242.67
2024-01-29,250.56
2024-01-30,271.31
2024-01-31,274.09
2024-02-01,289.83
2024-02-02,255.83
2024-02-03,236.59
2024-02-04,261.28
2024-02-05,258.5
2024-02-06,290.45
2024-02-07,274.65
2024-02-08,272.16
2024-02-09,272.08
2024-02-10,268.69
2024-02-11,268.91
2024-02-12,283.69
2024-02-13,299.49
2024-02-14,293.6
2024-02-15,292.39
2024-02-16,279.65
2024-02-17,286.02
2024-02-18,284.77
2024-02-19,281.36
2024-02-20,319.89
2024-02-21,318.68
2024-02-22,306.96
2024-02-23,304.51
2024-02-24,299.9
2024-02-25,304.79
2024-02-26,304.74
2024-02-27,327.7
2024-02-28,339.98
2024-02-29,337.63
2024-03-01,307.74
2024-03-02,301.88
2024-03-03,298.55
2024-03-04,315.31
2024-03-05,353.05
2024-03-06,364.37
2024-03-07,341.29
2024-03-08,336.71
2024-03-09,321.49
2024-03-10,317.31
2024-03-11,345.03
2024-03-12,374.45
2024-03-13,364.59
2024-03-14,371.8
2024-03-15,314.62
2024-03-16,340.24
2024-03-17,338.77
2024-03-18,352.57
2024-03-19,374.13
2024-03-20,359.22
2024-03-21,368.1
2024-03-22,358.53
2024-03-23,360.94
2024-03-24,346.86
2024-03-25,361.61
2024-03-26,382.34
2024-03-27,402.39
2024-03-28,387.72
2024-03-29,363.8
2024-03-30,365.43
2024-03-31,367.15
2024-04-01,393.52
2024-04-02,394.47
2024-04-03,404.1
2024-04-04,394.66
2024-04-05,368.61
2024-04-06,377.4
2024-04-07,382.93
2024-04-08,398.03
2024-04-09,413.29
